'aute	s_ w t e
legislativo	l e x i s l a t ˈi β o
lejanas	l e x ˈa n a s
lejos	l ˈe x o s
lemas	l ˈe m a s
lengua	l ˈe n g w a
lenta	l ˈe n t a
lentamente	l ˈe n t a m ˈe n t e
lentes	l ˈe n t e s
leo	l ˈe o
les	l e s
lesión	l e s j ˈo n
letonia	l e t ˈo n j a
letra	l ˈe t ɾ a
letrados	l e t ɾ ˈa ð o s
letras	l ˈe t ɾ a s
letreros	l e t ɾ ˈe ɾ o s
letrina	l e t ɾ ˈi n a
levantan	l e β a n t a n
levantar	l e β a n t ˈa ɾ
levantarse	l e β a n t ˈa ɾ s e
levantes	l e β ˈa n t e s
levanté	l e β a n t ˈe
levas	l ˈe β a s
ley	l ˈe j
leyendo	l e ʝ ˈe n d o
leyes	l ˈe ʝ e s
leyó	l e ʝ ˈo
leí	l e ˈi
leía	l e ˈi a
leído	l e ˈi ð o
leídos	l e ˈi ð o s
leña	l ˈe ɲ a
león	l e ˈo n
liberar	l i β e ɾ ˈa ɾ
libertad	l i β e ɾ t ˈa d
libios	l ˈi β j o s
librado	l i β ɾ ˈa ð o
librarte	l i β ɾ ˈa ɾ t e
libras	l ˈi β ɾ a s
libre	l ˈi β ɾ e
librería	l i β ɾ e ɾ ˈi a
librerías	l i β ɾ e ɾ ˈi a s
libres	l ˈi β ɾ e s
libreta	l i β ɾ ˈe t a
libro	l ˈi β ɾ o
libros	l ˈi β ɾ o s
licenciatura	l i θ e n θ j a t ˈu ɾ a
licor	l i k ˈo ɾ
lidiamos	l i ð j ˈa m o s
lidl	l ˈi d l
liebre	l j ˈe β ɾ e
ligadas	l i ɣ ˈa ð a s
ligereza	l i x e ɾ ˈe θ a
ligia	l ˈi x j a
limita	l i m ˈi t a
limitado	l i m i t ˈa ð o
limitarnos	l i m i t ˈa ɾ n o s
limonada	l i m o n ˈa ð a
limpia	l ˈi m p j a
limpiaba	l i m p j ˈa β a
limpian	l ˈi m p j a n
limpiando	l i m p j ˈa n d o
limpiar	l i m p j ˈa ɾ
limpias	l ˈi m p j a s
limpieza	l i m p j ˈe θ a
limpio	l ˈi m p j o
limpios	l ˈi m p j o s
linces	l ˈi n θ e s
lingüística	l i n g w ˈi s t i k a
lingüísticas	l i n g w ˈi s t i k a s
liosos	l j ˈo s o s
liquidación	l i k i ð a θ j ˈo n
liquidez	l i k i ð ˈe θ
lirios	l ˈi ɾ j o s
lista	l ˈi s t a
listas	l ˈi s t a s
listo	l ˈi s t o
listos	l ˈi s t o s
literalmente	l i t e ɾ ˈa l m ˈe n t e
literaria	l i t e ɾ ˈa ɾ j a
literario	l i t e ɾ ˈa ɾ j o
literarios	l i t e ɾ ˈa ɾ j o s
literas	l i t ˈe ɾ a s
literatos	l i t e ɾ ˈa t o s
literatura	l i t e ɾ a t ˈu ɾ a
litúrgico	l i t ˈu ɾ x i k o
liébana	l j ˈe β a n a
llamaba	ʝ a m ˈa β a
llamada	ʝ a m ˈa ð a
llamadas	ʝ a m ˈa ð a s
llamado	ʝ a m ˈa ð o
llamando	ʝ a m ˈa n d o
llamar	ʝ a m ˈa ɾ
llamaras	ʝ a m ˈa ɾ a s
llamarla	ʝ a m ˈa ɾ l a
llamarlas	ʝ a m ˈa ɾ l a s
llamarle	ʝ a m ˈa ɾ l e
llamarme	ʝ a m ˈa ɾ m e
llamaron	ʝ a m ˈa ɾ o n
llamaré	ʝ a m a ɾ ˈe
llamaste	ʝ a m ˈa s t e
llamativo	ʝ a m a t ˈi β o
llame	ʝ a m e
llamen	ʝ ˈa m e n
llamé	ʝ a m ˈe
llamó	ʝ a m ˈo
llanto	ʝ ˈa n t o
llave	ʝ ˈa β e
llaves	ʝ ˈa β e s
llega	ʝ ˈe ɣ a
llegada	ʝ e ɣ ˈa ð a
llegado	ʝ e ɣ ˈa ð o
llegamos	ʝ e ɣ ˈa m o s
llegan	ʝ ˈe ɣ a n
llegando	ʝ e ɣ ˈa n d o
llegar	ʝ e ɣ ˈa ɾ
llegara	ʝ e ɣ ˈa ɾ a
llegaron	ʝ e ɣ ˈa ɾ o n
llegará	ʝ e ɣ a ɾ ˈa
llegarán	ʝ e ɣ a ɾ ˈa n
llegaré	ʝ e ɣ a ɾ ˈe
llegas	ʝ ˈe ɣ a s
llegaste	ʝ e ɣ ˈa s t e
llegue	ʝ ˈe ɣ w e
lleguen	ʝ ˈe ɣ w e n
llegué	ʝ e ɣ w ˈe
lleguéis	ʝ e ɣ w ˈe j s
llegó	ʝ e ɣ ˈo
llena	ʝ ˈe n a
llenan	ʝ ˈe n a n
llenar	ʝ e n ˈa ɾ
llenarse	ʝ e n ˈa ɾ s e
llenas	ʝ ˈe n a s
lleno	ʝ ˈe n o
llenos	ʝ ˈe n o s
lleva	ʝ ˈe β a
llevaba	ʝ e β ˈa β a
llevaban	ʝ e β ˈa β a n
llevada	ʝ e β ˈa ð a
llevado	ʝ e β ˈa ð o
llevamos	ʝ e β ˈa m o s
llevan	ʝ ˈe β a n
llevaos	ʝ e β ˈa o s
llevar	ʝ e β ˈa ɾ
llevara	ʝ e β ˈa ɾ a
llevaran	ʝ e β ˈa ɾ a n
llevarlas	ʝ e β ˈa ɾ l a s
llevarle	ʝ e β ˈa ɾ l e
llevarse	ʝ e β ˈa ɾ s e
llevarte	ʝ e β ˈa ɾ t e
llevará	ʝ e β a ɾ ˈa
llevaré	ʝ e β a ɾ ˈe
llevaría	ʝ e β a ɾ ˈi a
llevas	ʝ ˈe β a s
lleve	ʝ ˈe β e
llevo	ʝ ˈe β o
llevárselo	ʝ e β ˈa ɾ s e l o
llevó	ʝ e β ˈo
lloraba	ʝ o ɾ ˈa β a
llorar	ʝ o ɾ ˈa ɾ
lloviendo	ʝ o β j ˈe n d o
llueve	ʝ w ˈe β e
lluvia	ʝ ˈu β j a
lluvias	ʝ ˈu β j a s
llámalo	ʝ ˈa m a l o
llámeme	ʝ ˈa m e m e
llénala	ʝ ˈe n a l a
lléveme	ʝ ˈe β e m e
llévense	ʝ ˈe β ˈe n s e
lo	l o
loca	l ˈo k a
localidad	l o k a l i ð ˈa d
localizaciones	l o k a l i θ a θ j ˈo n e s
localización	l o k a l i θ a θ j ˈo n
localizado	l o k a l i θ ˈa ð o
localizar	l o k a l i θ ˈa ɾ
locamente	l ˈo k a m ˈe n t e
locomotoras	l o k o m o t ˈo ɾ a s
locución	l o k u θ j ˈo n
locura	l o k ˈu ɾ a
logra	l ˈo ɣ ɾ a
logradas	l o ɣ ɾ ˈa ð a s
logrado	l o ɣ ɾ ˈa ð o
logramos	l o ɣ ɾ ˈa m o s
logran	l ˈo ɣ ɾ a n
logrando	l o ɣ ɾ ˈa n d o
lograr	l o ɣ ɾ ˈa ɾ
lograron	l o ɣ ɾ ˈa ɾ o n
logrará	l o ɣ ɾ a ɾ ˈa
logre	l ˈo ɣ ɾ e
logro	l ˈo ɣ ɾ o
logros	l ˈo ɣ ɾ o s
londinenses	l o n d i n ˈe n s e s
londres	l ˈo n d ɾ e s
longitud	l o n x i t ˈu d
los	l o s
lote	l ˈo t e
lotería	l o t e ɾ ˈi a
lucen	l ˈu θ e n
luces	l ˈu θ e s
lucha	l ˈu ʧ a
luchan	l ˈu ʧ a n
luchando	l u ʧ ˈa n d o
luchar	l u ʧ ˈa ɾ
luchas	l ˈu ʧ a s
luché	l u ʧ ˈe
luciérnaga	l u θ j ˈe ɾ n a ɣ a
lucía	l u θ ˈi a
luego	l w ˈe ɣ o
lugares	l u ɣ ˈa ɾ e s
lugareños	l u ɣ a ɾ ˈe ɲ o s
lujoso	l u x ˈo s o
luminosa	l u m i n ˈo s a
lunes	l ˈu n e s
lunático	l u n ˈa t i k o
luz	l ˈu θ
lágrimas	l ˈa ɣ ɾ i m a s
lápices	l ˈa p i θ e s
lápidas	l ˈa p i ð a s
lástima	l ˈa s t i m a
líder	l ˈi ð e ɾ
líderes	l ˈi ð e ɾ e s
límite	l ˈi m i t e
línea	l ˈi n e a
líneas	l ˈi n e a s
lío	l ˈi o
líos	l ˈi o s
líquidos	l ˈi k i ð o s
lírico	l ˈi ɾ i k o
lógico	l ˈo x i k o
lópez	l ˈo p e θ
lúcidos	l ˈu θ i ð o s
lúgubre	l ˈu ɣ u β ɾ e
mac	m ˈa k
maderas	m a ð ˈe ɾ a s
madres	m ˈa ð ɾ e s
madridista	m a ð ɾ i ð ˈi s t a
madriguera	m a ð ɾ i ɣ w ˈe ɾ a
madrileña	m a ð ɾ i l ˈe ɲ a
madrileño	m a ð ɾ i l ˈe ɲ o
madrileños	m a ð ɾ i l ˈe ɲ o s
madrugada	m a ð ɾ u ɣ ˈa ð a
maestra	m a ˈe s t ɾ a
maestras	m a ˈe s t ɾ a s
maestros	m a ˈe s t ɾ o s
mafiosos	m a f j ˈo s o s
magia	m ˈa x j a
magnética	m a g n ˈe t i k a
magnífica	m a g n ˈi f i k a
magníficas	m a g n ˈi f i k a s
magnífico	m a g n ˈi f i k o
magníficos	m a g n ˈi f i k o s
magos	m ˈa ɣ o s
majestad	m a x e s t ˈa d
mal	m ˈa l
malaquías	m a l a k ˈi a s
malas	m a l a s
maldad	m a l d ˈa d
maldiciones	m a l d i θ j ˈo n e s
malestar	m a l e s t ˈa ɾ
maleta	m a l ˈe t a
maletas	m a l ˈe t a s
maletero	m a l e t ˈe ɾ o
maletín	m a l e t ˈi n
maleza	m a l ˈe θ a
maligna	m a l ˈi g n a
malinterpreta	m a l i n t e ɾ p ɾ ˈe t a
malinterpretada	m a l i n t e ɾ p ɾ e t ˈa ð a
mamá	m a m ˈa
manantiales	m a n a n t j ˈa l e s
manchadas	m a n ʧ ˈa ð a s
manchado	m a n ʧ ˈa ð o
manchas	m ˈa n ʧ a s
mandado	m a n d ˈa ð o
mandar	m a n d ˈa ɾ
mandara	m a n d ˈa ɾ a
mandaron	m a n d ˈa ɾ o n
mande	m ˈa n d e
manderley	m a n d ˈe ɾ l ˈe j
mando	m ˈa n d o
mandé	m a n d ˈe
manejan	m a n ˈe x a n
manejar	m a n e x ˈa ɾ
manera	m a n ˈe ɾ a
maneras	m a n ˈe ɾ a s
manicomio	m a n i k ˈo m j o
manifestación	m a n i f e s t a θ j ˈo n
manifestante	m a n i f e s t ˈa n t e
maniobra	m a n j ˈo β ɾ a
maniobrar	m a n j o β ɾ ˈa ɾ
maniobras	m a n j ˈo β ɾ a s
mansión	m a n s j ˈo n
mantendrá	m a n t e n d ɾ ˈa
mantenemos	m a n t e n ˈe m o s
mantener	m a n t e n ˈe ɾ
mantenerla	m a n t e n ˈe ɾ l a
mantenerlo	m a n t e n ˈe ɾ l o
mantenerse	m a n t e n ˈe ɾ s e
mantenido	m a n t e n ˈi ð o
manteniendo	m a n t e n j ˈe n d o
mantenimiento	m a n t e n i m j ˈe n t o
mantiene	m a n t j ˈe n e
mantienen	m a n t j ˈe n e n
mantienes	m a n t j ˈe n e s
manto	m ˈa n t o
mantuve	m a n t ˈu β e
mantén	m a n t ˈe n
manualmente	m a n w ˈa l m ˈe n t e
mapa	m ˈa p a
mapas	m ˈa p a s
maquetas	m a k ˈe t a s
maquillaje	m a k i ʝ ˈa x e
mar	m ˈa ɾ
maravillados	m a ɾ a β i ʝ ˈa ð o s
maravillosa	m a ɾ a β i ʝ ˈo s a
maravilloso	m a ɾ a β i ʝ ˈo s o
maravillosos	m a ɾ a β i ʝ ˈo s o s
marca	m ˈa ɾ k a
marcadas	m a ɾ k ˈa ð a s
marcados	m a ɾ k ˈa ð o s
marcaron	m a ɾ k ˈa ɾ o n
marcas	m ˈa ɾ k a s
marcasson	m a ɾ k a s o n
marcha	m ˈa ɾ ʧ a
marchado	m a ɾ ʧ ˈa ð o
marcharse	m a ɾ ʧ ˈa ɾ s e
marcharé	m a ɾ ʧ a ɾ ˈe
marchándonos	m a ɾ ʧ ˈa n d o n o s
marchó	m a ɾ ʧ ˈo
marea	m a ɾ ˈe a
mareado	m a ɾ e ˈa ð o
marearse	m a ɾ e ˈa ɾ s e
margen	m ˈa ɾ x e n
marido	m a ɾ ˈi ð o
maridos	m a ɾ ˈi ð o s
mariposas	m a ɾ i p ˈo s a s
marisco	m a ɾ ˈi s k o
marlaska	m a ɾ l ˈa s k a
marqueses	m a ɾ k ˈe s e s
marsen	m a ɾ s e n
martes	m ˈa ɾ t e s
martín	m a ɾ t ˈi n
maría	m a ɾ ˈi a
masaje	m a s ˈa x e
masajista	m a s a x ˈi s t a
mascada	m a s k ˈa ð a
mascarilla	m a s k a ɾ ˈi ʝ a
mascarillas	m a s k a ɾ ˈi ʝ a s
masculinas	m a s k u l ˈi n a s
masificadas	m a s i f i k ˈa ð a s
masificado	m a s i f i k ˈa ð o
masiva	m a s ˈi β a
masivos	m a s ˈi β o s
maspalomas	m a s p a l ˈo m a s
matadero	m a t a ð ˈe ɾ o
matan	m ˈa t a n
matar	m a t ˈa ɾ
matarla	m a t ˈa ɾ l a
matarme	m a t ˈa ɾ m e
matarte	m a t ˈa ɾ t e
mataría	m a t a ɾ ˈi a
mataste	m a t ˈa s t e
materia	m a t ˈe ɾ j a
materiales	m a t e ɾ j ˈa l e s
materializaría	m a t e ɾ j a l i θ a ɾ ˈi a
matrimonio	m a t ɾ i m ˈo n j o
matrícula	m a t ɾ ˈi k u l a
mató	m a t ˈo
max	m ˈa k s
mayas	m ˈa ʝ a s
mayores	m a ʝ ˈo ɾ e s
mayoritaria	m a ʝ o ɾ i t ˈa ɾ j a
mayoritario	m a ʝ o ɾ i t ˈa ɾ j o
mayoría	m a ʝ o ɾ ˈi a
mañana	m a ɲ ˈa n a
mañanas	m a ɲ ˈa n a s
mcglue	ˈe m e_θ ɣ l w e
me	m e
medallas	m e ð ˈa ʝ a s
mediados	m e ð j ˈa ð o s
mediante	m e ð j ˈa n t e
medias	m ˈe ð j a s
medicina	m e ð i θ ˈi n a
medicinas	m e ð i θ ˈi n a s
medida	m e ð ˈi ð a
medidas	m e ð ˈi ð a s
mediodía	m e ð j o ð ˈi a
medios	m ˈe ð j o s
medir	m e ð ˈi ɾ
meditación	m e ð i t a θ j ˈo n
meditar	m e ð i t ˈa ɾ
medite	m e ð ˈi t e
mediterránea	m e ð i t e r ˈa n e a
mediterráneo	m e ð i t e r ˈa n e o
mejillón	m e x i ʝ ˈo n
mejor	m e x ˈo ɾ
mejora	m e x ˈo ɾ a
mejorado	m e x o ɾ ˈa ð o
mejorando	m e x o ɾ ˈa n d o
mejorar	m e x o ɾ ˈa ɾ
mejore	m e x ˈo ɾ e
mejoren	m e x ˈo ɾ e n
mejores	m e x ˈo ɾ e s
mejoría	m e x o ɾ ˈi a
melatonina	m e l a t o n ˈi n a
melilla	m e l ˈi ʝ a
memoria	m e m ˈo ɾ j a
memorizado	m e m o ɾ i θ ˈa ð o
memorizar	m e m o ɾ i θ ˈa ɾ
menciona	m e n θ j ˈo n a
mencionan	m e n θ j ˈo n a n
mencionar	m e n θ j o n ˈa ɾ
mencionarla	m e n θ j o n ˈa ɾ l a
menciones	m e n θ j ˈo n e s
mencioné	m e n θ j o n ˈe
menesteres	m e n e s t ˈe ɾ e s
meninas	m e n ˈi n a s
menos	m e n o s
mensaje	m e n s ˈa x e
mensajero	m e n s a x ˈe ɾ o
mensajes	m e n s ˈa x e s
mensual	m e n s w ˈa l
mentar	m e n t ˈa ɾ
mentes	m ˈe n t e s
mentira	m e n t ˈi ɾ a
mentiras	m e n t ˈi ɾ a s
menudeo	m e n u ð ˈe o
menudo	m e n ˈu ð o
menú	m e n ˈu
mercadillo	m e ɾ k a ð ˈi ʝ o
mercadillos	m e ɾ k a ð ˈi ʝ o s
mercadona	m e ɾ k a ð ˈo n a
mercados	m e ɾ k ˈa ð o s
mercadotecnia	m e ɾ k a ð o t ˈe k n j a
mercancía	m e ɾ k a n θ ˈi a
mercancías	m e ɾ k a n θ ˈi a s
merece	m e ɾ ˈe θ e
merecemos	m e ɾ e θ ˈe m o s
merecen	m e ɾ ˈe θ e n
merecido	m e ɾ e θ ˈi ð o
merenderos	m e ɾ e n d ˈe ɾ o s
merienda	m e ɾ j ˈe n d a
merluza	m e ɾ l ˈu θ a
merma	m ˈe ɾ m a
merodeador	m e ɾ o ð e a ð ˈo ɾ
merodear	m e ɾ o ð e ˈa ɾ
mes	m e s
mesas	m ˈe s a s
meses	m ˈe s e s
mesilla	m e s ˈi ʝ a
mesita	m e s ˈi t a
metan	m ˈe t a n
metas	m ˈe t a s
meteorológica	m e t e o ɾ o l ˈo x i k a
meteorológicas	m e t e o ɾ o l ˈo x i k a s
meterme	m e t ˈe ɾ m e
meterte	m e t ˈe ɾ t e
meterán	m e t e ɾ ˈa n
metes	m ˈe t e s
metido	m e t ˈi ð o
metiendo	m e t j ˈe n d o
metió	m e t j ˈo
meto	m ˈe t o
metodología	m e t o ð o l o x ˈi a
metodológicas	m e t o ð o l ˈo x i k a s
metí	m e t ˈi
mezcla	m ˈe θ k l a
mezcles	m e θ k l e s
mezquina	m e θ k ˈi n a
mi	m i
midge	m i ʧ
midierais	m i ð j ˈe ɾ a j s
miedo	m j ˈe ð o
miel	m j ˈe l
miembro	m j ˈe m b ɾ o
miembros	m j ˈe m b ɾ o s
mientras	m j ˈe n t ɾ a s
migrantes	m i ɣ ɾ ˈa n t e s
migratorio	m i ɣ ɾ a t ˈo ɾ j o
mil	m ˈi l
millas	m ˈi ʝ a s
millonario	m i ʝ o n ˈa ɾ j o
millones	m i ʝ ˈo n e s
millón	m i ʝ ˈo n
milímetro	m i l ˈi m e t ɾ o
mimbre	m ˈi m b ɾ e
mimetiza	m i m e t ˈi θ a
minerales	m i n e ɾ ˈa l e s
minería	m i n e ɾ ˈi a
minimizar	m i n i m i θ ˈa ɾ
ministerio	m i n i s t ˈe ɾ j o
ministerios	m i n i s t ˈe ɾ j o s
ministra	m i n ˈi s t ɾ a
ministros	m i n ˈi s t ɾ o s
minoritarios	m i n o ɾ i t ˈa ɾ j o s
mintrabajo	m ˈi n t ɾ a β ˈa x o
minuto	m i n ˈu t o
minutos	m i n ˈu t o s
miquel	m i k ˈe l
miraban	m i ɾ ˈa β a n
mirador	m i ɾ a ð ˈo ɾ
miramos	m i ɾ ˈa m o s
mirar	m i ɾ ˈa ɾ
mirara	m i ɾ ˈa ɾ a
mirarán	m i ɾ a ɾ ˈa n
mirarían	m i ɾ a ɾ ˈi a n
miren	m ˈi ɾ e n
mirándolo	m i ɾ ˈa n d o l o
miré	m i ɾ ˈe
mis	m i s
misa	m ˈi s a
miseria	m i s ˈe ɾ j a
misionero	m i s j o n ˈe ɾ o
misiva	m i s ˈi β a
misión	m i s j ˈo n
misma	m ˈi s m a
mismas	m ˈi s m a s
mismo	m ˈi s m o
mismos	m ˈi s m o s
misterio	m i s t ˈe ɾ j o
misuri	m i s ˈu ɾ i
mitad	m i t ˈa d
miércoles	m j ˈe ɾ k o l e s
mobiliario	m o β i l j ˈa ɾ j o
mochila	m o ʧ ˈi l a
modales	m o ð ˈa l e s
modelos	m o ð ˈe l o s
moderado	m o ð e ɾ ˈa ð o
moderna	m o ð ˈe ɾ n a
modernas	m o ð ˈe ɾ n a s
modernidad	m o ð e ɾ n i ð ˈa d
modernismo	m o ð e ɾ n ˈi s m o
modernización	m o ð e ɾ n i θ a θ j ˈo n
modernizada	m o ð e ɾ n i θ ˈa ð a
modernizadas	m o ð e ɾ n i θ ˈa ð a s
moderno	m o ð ˈe ɾ n o
modernos	m o ð ˈe ɾ n o s
modificado	m o ð i f i k ˈa ð o
modificar	m o ð i f i k ˈa ɾ
modificándose	m o ð i f i k ˈa n d o s e
modo	m ˈo ð o
modos	m ˈo ð o s
mojada	m o x ˈa ð a
mojar	m o x ˈa ɾ
mojitos	m o x ˈi t o s
molde	m ˈo l d e
molesta	m o l ˈe s t a
molestado	m o l e s t ˈa ð o
molestan	m o l ˈe s t a n
molestar	m o l e s t ˈa ɾ
molestaríamos	m o l e s t a ɾ ˈi a m o s
molestas	m o l ˈe s t a s
moleste	m o l ˈe s t e
molestes	m o l ˈe s t e s
molestia	m o l ˈe s t j a
molesto	m o l ˈe s t o
molinos	m o l ˈi n o s
momento	m o m ˈe n t o
momentos	m o m ˈe n t o s
monarca	m o n ˈa ɾ k a
monedas	m o n ˈe ð a s
monetarias	m o n e t ˈa ɾ j a s
monita	m o n ˈi t a
monjas	m ˈo n x a s
monstruo	m ˈo n s t ɾ w o
monstruosa	m o n s t ɾ w ˈo s a
monta	m ˈo n t a
montado	m o n t ˈa ð o
montaje	m o n t ˈa x e
montarse	m o n t ˈa ɾ s e
montaríamos	m o n t a ɾ ˈi a m o s
montañas	m o n t ˈa ɲ a s
monten	m ˈo n t e n
montones	m o n t ˈo n e s
montón	m o n t ˈo n
monumento	m o n u m ˈe n t o
monumentos	m o n u m ˈe n t o s
moratorias	m o ɾ a t ˈo ɾ j a s
morder	m o ɾ d ˈe ɾ
morir	m o ɾ ˈi ɾ
mortales	m o ɾ t ˈa l e s
morticia	m o ɾ t ˈi θ j a
moscú	m o s k ˈu
mosquitera	m o s k i t ˈe ɾ a
mostrando	m o s t ɾ ˈa n d o
mostrarle	m o s t ɾ ˈa ɾ l e
mostraron	m o s t ɾ ˈa ɾ o n
mostrarse	m o s t ɾ ˈa ɾ s e
mostrará	m o s t ɾ a ɾ ˈa
motivo	m o t ˈi β o
motivos	m o t ˈi β o s
motocicleta	m o t o θ i k l ˈe t a
motocicletas	m o t o θ i k l ˈe t a s
motorista	m o t o ɾ ˈi s t a
motos	m ˈo t o s
moverse	m o β ˈe ɾ s e
moviendo	m o β j ˈe n d o
movimiento	m o β i m j ˈe n t o
movistar	m o β i s t ˈa ɾ
mtv	ˈe m e_t b
muchacha	m u ʧ ˈa ʧ a
muchacho	m u ʧ ˈa ʧ o
muchachos	m u ʧ ˈa ʧ o s
muchas	m ˈu ʧ a s
mucho	m ˈu ʧ o
muchos	m ˈu ʧ o s
muchísima	m u ʧ ˈi s i m a
muchísimo	m u ʧ ˈi s i m o
mudar	m u ð ˈa ɾ
muebles	m w ˈe β l e s
muelle	m w ˈe ʝ e
muera	m w ˈe ɾ a
muere	m w ˈe ɾ e
muerta	m w ˈe ɾ t a
muertas	m w ˈe ɾ t a s
muerte	m w ˈe ɾ t e
muerto	m w ˈe ɾ t o
muertos	m w ˈe ɾ t o s
muestra	m w ˈe s t ɾ a
muestran	m w ˈe s t ɾ a n
muestras	m w ˈe s t ɾ a s
mueven	m w ˈe β e n
mujer	m u x ˈe ɾ
mujeres	m u x ˈe ɾ e s
muletas	m u l ˈe t a s
muley	m u l ˈe j
multarle	m u l t ˈa ɾ l e
multas	m ˈu l t a s
multicolor	m u l t i k o l ˈo ɾ
multimillonario	m u l t i m i ʝ o n ˈa ɾ j o
multinacionales	m u l t i n a θ j o n ˈa l e s
multiplataforma	m u l t i p l a t a f ˈo ɾ m a
multitud	m u l t i t ˈu d
multitudinario	m u l t i t u ð i n ˈa ɾ j o
mundial	m u n d j ˈa l
mundiales	m u n d j ˈa l e s
municiones	m u n i θ j ˈo n e s
murales	m u ɾ ˈa l e s
muralla	m u ɾ ˈa ʝ a
murallas	m u ɾ ˈa ʝ a s
murciélagos	m u ɾ θ j ˈe l a ɣ o s
muriendo	m u ɾ j ˈe n d o
muriera	m u ɾ j ˈe ɾ a
murió	m u ɾ j ˈo
muselina	m u s e l ˈi n a
museo	m u s ˈe o
museocinema	m u s e o θ i n ˈe m a
museografía	m u s e o ɣ ɾ a f ˈi a
museos	m u s ˈe o s
museística	m u s e ˈi s t i k a
musicales	m u s i k ˈa l e s
mutua	m ˈu t w a
mutualizada	m u t w a l i θ ˈa ð a
mutuo	m ˈu t w o
muy	m w ˈi
muñeco	m u ɲ ˈe k o
mágico	m ˈa x i k o
málaga	m ˈa l a ɣ a
máquina	m ˈa k i n a
máquinas	m ˈa k i n a s
márgenes	m ˈa ɾ x e n e s
mármol	m ˈa ɾ m o l
más	m ˈa s
más'	m ˈa s s_
máster	m ˈa s t e ɾ
mástiles	m ˈa s t i l e s
máxima	m ˈa k s i m a
máximo	m ˈa k s i m o
médica	m ˈe ð i k a
médicamente	m ˈe ð i k a m ˈe n t e
médico	m ˈe ð i k o
médicos	m ˈe ð i k o s
mérito	m ˈe ɾ i t o
método	m ˈe t o ð o
métodos	m ˈe t o ð o s
métrica	m ˈe t ɾ i k a
mí	m ˈi
mía	m ˈi a
mías	m ˈi a s
mínima	m ˈi n i m a
mínimas	m ˈi n i m a s
mínimo	m ˈi n i m o
mínimos	m ˈi n i m o s
mío	m ˈi o
míos	m ˈi o s
mítica	m ˈi t i k a
módulo	m ˈo ð u l o
módulos	m ˈo ð u l o s
móvil	m ˈo β i l
móviles	m ˈo β i l e s
múltiples	m ˈu l t i p l e s
músculos	m ˈu s k u l o s
música	m ˈu s i k a
músicas	m ˈu s i k a s
músico	m ˈu s i k o
músicos	m ˈu s i k o s
nacida	n a θ ˈi ð a
nacidas	n a θ ˈi ð a s
nacido	n a θ ˈi ð o
nacieron	n a θ j ˈe ɾ o n
naciones	n a θ j ˈo n e s
nació	n a θ j ˈo
nací	n a θ ˈi
nada	n ˈa ð a
nadan	n ˈa ð a n
nadar	n a ð ˈa ɾ
nadeshiko	n a ð ˈe ʃ ˈi k o
nadie	n ˈa ð j e
naranja	n a ɾ ˈa n x a
narcisista	n a ɾ θ i s ˈi s t a
narices	n a ɾ ˈi θ e s
narra	n ˈa r a
narrar	n a r ˈa ɾ
narrativa	n a r a t ˈi β a
nativos	n a t ˈi β o s
naturales	n a t u ɾ ˈa l e s
naturaleza	n a t u ɾ a l ˈe θ a
naturalistas	n a t u ɾ a l ˈi s t a s
naturalmente	n a t u ɾ ˈa l m ˈe n t e
naturgy	n a t u ɾ g i
naufragio	n a w f ɾ ˈa x j o
navegación	n a β e ɣ a θ j ˈo n
navegantes	n a β e ɣ ˈa n t e s
navegar	n a β e ɣ ˈa ɾ
navidad	n a β i ð ˈa d
navideña	n a β i ð ˈe ɲ a
navíos	n a β ˈi o s
nazismo	n a θ ˈi s m o
necesaria	n e θ e s ˈa ɾ j a
necesarias	n e θ e s ˈa ɾ j a s
necesario	n e θ e s ˈa ɾ j o
necesarios	n e θ e s ˈa ɾ j o s
necesidad	n e θ e s i ð ˈa d
necesidades	n e θ e s i ð ˈa ð e s
necesita	n e θ e s ˈi t a
necesitaba	n e θ e s i t ˈa β a
necesitados	n e θ e s i t ˈa ð o s
necesitamos	n e θ e s i t ˈa m o s
necesitan	n e θ e s ˈi t a n
necesitando	n e θ e s i t ˈa n d o
necesitar	n e θ e s i t ˈa ɾ
necesitas	n e θ e s ˈi t a s
necesite	n e θ e s ˈi t e
necesitemos	n e θ e s i t ˈe m o s
necesiten	n e θ e s ˈi t e n
necesites	n e θ e s ˈi t e s
necesito	n e θ e s ˈi t o
necesitáis	n e θ e s i t ˈa j s
necias	n ˈe θ j a s
necrópolis	n e k ɾ ˈo p o l i s
negacionistas	n e ɣ a θ j o n ˈi s t a s
negado	n e ɣ ˈa ð o
negaré	n e ɣ a ɾ ˈe
negativos	n e ɣ a t ˈi β o s
negociar	n e ɣ o θ j ˈa ɾ
negocio	n e ɣ ˈo θ j o
negocios	n e ɣ ˈo θ j o s
negoció	n e ɣ o θ j ˈo
negra	n ˈe ɣ ɾ a
nervios	n e ɾ b j o s
nerviosa	n e ɾ b j ˈo s a
nerviosismo	n e ɾ b j o s ˈi s m o
nervioso	n e ɾ b j ˈo s o
nerón	n e ɾ ˈo n
neumonía	n e w m o n ˈi a
neumáticos	n e w m ˈa t i k o s
neveras	n e β ˈe ɾ a s
neón	n e ˈo n
ni	n i
niebla	n j ˈe β l a
niego	n j ˈe ɣ o
nietos	n j ˈe t o s
nieve	n j ˈe β e
ninguna	n i n g ˈu n a
ninguno	n i n g ˈu n o
